"GroupName"#"EmailAddresses"
"VMR AT Kurz"#"VMRATKurz@mybestseller.mail.onmicrosoft.com;VMRATKurz@bestseller.com"
"WholesaleChileStockDistribution"#"WholesaleChileStockDistribution@mybestseller.mail.onmicrosoft.com;WholesaleChileStockDistribution@bestseller.com"
"Pieces Purchase"#"PiecesPurchase@mybestseller.mail.onmicrosoft.com;AccessoriesPurchase@bestseller.com;PiecesPurchase@bestseller.com"
"CMRFinland"#"CMRFinland_bestseller.com@mybestseller.mail.onmicrosoft.com;CMRFinland_bestseller.com@bestseller.com;CMRFinlandbestseller.com@bestseller.com;CMRFinland@bestseller.com"
"Vero Moda Shop in Shop"#"VeroModaShopinShop@mybestseller.mail.onmicrosoft.com;VeroModaShopinShop@bestseller.com"
"CSM KA1"#"CSMKA1@mybestseller.mail.onmicrosoft.com;CSMKA1@bestseller.com"
"Selected Buying"#"SelectedBuying@mybestseller.mail.onmicrosoft.com;SelectedBuying@bestseller.com"
"Vero Moda Retail External Partners"#"VeroModaRetailExternalPartners@mybestseller.mail.onmicrosoft.com;VeroModaRetailExternalPartners@bestseller.com"
"SONS_SWITZERLAND_SHOPS"#"SONS_SWITZERLAND_SHOPS@mybestseller.mail.onmicrosoft.com;SONS_SWITZERLAND_SHOPS@bestseller.com"
"tr_wholesale_ka"#"tr_wholesale_ka@mybestseller.mail.onmicrosoft.com;tr_wholesale_ka@bestseller.com"
"ajioonly"#"ajioonly@mybestseller.mail.onmicrosoft.com;ajioonly@bestseller.com"
"Salzburg"#"Salzburg@mybestseller.mail.onmicrosoft.com;Salzburg@bestseller.com"
"VMR DK Wind"#"VMRDKWind@mybestseller.mail.onmicrosoft.com;VMRDKWind@bestseller.com"
"Only India"#"OnlyIndia@mybestseller.mail.onmicrosoft.com;OnlyIndia@bestseller.com"
"AMRITSAR SHOPS"#"AMRITSARSHOPS@mybestseller.mail.onmicrosoft.com;AMRITSARSHOPS@bestseller.com"
"VERO MODA NOOS SALES SUPPORT"#"VERO_MODA_NOOS_SALES_SUPPORT@mybestseller.mail.onmicrosoft.com;VERO_MODA_NOOS_SALES_SUPPORT@bestseller.com"
"MexicoStockDistribution"#"MexicoStockDistribution@mybestseller.mail.onmicrosoft.com;MexicoStockDistribution@bestseller.com"
"DSS-NMY-Sales WHS"#"DSSNMYSalesWHS@mybestseller.mail.onmicrosoft.com;DSSNMYSalesWHS@bestseller.com"
"Selected Express"#"SelectedExpress@mybestseller.mail.onmicrosoft.com;SelectedExpress@bestseller.com"
